,clearing_time
0,
1,0.0008234977722167969
2,0.0008647441864013672
3,0.0008296966552734375
4,0.0008699893951416016
5,0.00048041343688964844
6,0.0006029605865478516
7,0.0005056858062744141
8,0.0005486011505126953
9,0.0007472038269042969
10,0.0006129741668701172
11,0.0006613731384277344
12,0.0007004737854003906
13,0.0007126331329345703
14,0.0007729530334472656
15,0.0007796287536621094
16,0.0008530616760253906
17,0.0008757114410400391
18,0.0009233951568603516
19,0.0010330677032470703
20,0.0009992122650146484
21,0.0013463497161865234
22,0.0011417865753173828
23,0.0020966529846191406
24,0.0015900135040283203
25,0.0025167465209960938
26,0.0013659000396728516
27,0.001367807388305664
28,0.0013325214385986328
29,0.001462697982788086
30,0.001512765884399414
31,0.001735687255859375
32,0.0014657974243164062
33,0.001529693603515625
34,0.0016677379608154297
35,0.0016052722930908203
36,0.0019161701202392578
37,0.0020542144775390625
38,0.001922607421875
39,0.0017557144165039062
40,0.0017690658569335938
41,0.0024721622467041016
42,0.0019931793212890625
43,0.0019369125366210938
44,0.002446413040161133
45,0.0020723342895507812
46,0.0022056102752685547
47,0.0023348331451416016
48,0.0021486282348632812
49,0.0024302005767822266
50,0.0021953582763671875
51,0.002480030059814453
52,0.002325296401977539
53,0.0023353099822998047
54,0.0025794506072998047
55,0.0031807422637939453
56,0.0024878978729248047
57,0.0025544166564941406
58,0.002518892288208008
59,0.0034332275390625
60,0.0026328563690185547
61,0.002765655517578125
62,0.0034570693969726562
63,0.002907991409301758
64,0.003008604049682617
65,0.004271507263183594
66,0.0028390884399414062
67,0.0029141902923583984
68,0.0032372474670410156
69,0.003248929977416992
70,0.0030634403228759766
71,0.004130363464355469
72,0.0034656524658203125
73,0.0031599998474121094
74,0.0033071041107177734
75,0.0037326812744140625
76,0.004595041275024414
77,0.0032846927642822266
78,0.0035080909729003906
79,0.0036394596099853516
80,0.0035805702209472656
81,0.003943443298339844
82,0.003874063491821289
83,0.003716707229614258
84,0.0036444664001464844
85,0.003960847854614258
86,0.00379180908203125
87,0.004308938980102539
88,0.00510406494140625
89,0.0038139820098876953
90,0.003954887390136719
91,0.0038831233978271484
92,0.003953695297241211
93,0.004227399826049805
94,0.004051685333251953
95,0.00547480583190918
96,0.004489421844482422
97,0.00458216667175293
98,0.0041925907135009766
99,0.005802154541015625
100,0.004365205764770508
101,0.004497528076171875
102,0.00489044189453125
103,0.00587010383605957
104,0.00445103645324707
105,0.004717350006103516
106,0.004778861999511719
107,0.005067348480224609
108,0.004755973815917969
109,0.00490880012512207
110,0.004712104797363281
111,0.005411386489868164
112,0.00528264045715332
113,0.00580286979675293
114,0.005019426345825195
115,0.005191802978515625
116,0.00569462776184082
117,0.006377220153808594
118,0.005095243453979492
119,0.0052907466888427734
120,0.005430936813354492
121,0.005598545074462891
122,0.005304098129272461
123,0.005407094955444336
124,0.00559544563293457
125,0.005381345748901367
126,0.006273031234741211
127,0.0057871341705322266
128,0.005846261978149414
129,0.007084369659423828
130,0.0055654048919677734
131,0.005808830261230469
132,0.006043672561645508
133,0.00565791130065918
134,0.006739139556884766
135,0.005751371383666992
136,0.006475210189819336
137,0.006790637969970703
138,0.006076335906982422
139,0.0059087276458740234
140,0.006804943084716797
141,0.006137371063232422
142,0.006228208541870117
143,0.006167411804199219
144,0.0069081783294677734
145,0.0075452327728271484
146,0.006256103515625
147,0.006462812423706055
148,0.008243322372436523
149,0.0066297054290771484
150,0.006971120834350586
151,0.006407022476196289
152,0.006903171539306641
153,0.007785320281982422
154,0.00680088996887207
155,0.007390499114990234
156,0.007150411605834961
157,0.00850057601928711
158,0.012465476989746094
159,0.0071086883544921875
160,0.007442951202392578
161,0.008215665817260742
162,0.009003877639770508
163,0.008498668670654297
164,0.008901119232177734
165,0.008115768432617188
166,0.007498502731323242
167,0.008211851119995117
168,0.00831747055053711
169,0.007871627807617188
170,0.008547782897949219
171,0.009028434753417969
172,0.007740020751953125
173,0.00834798812866211
174,0.0077250003814697266
175,0.008478403091430664
176,0.009004354476928711
177,0.009537458419799805
178,0.008603334426879883
179,0.00892186164855957
180,0.009382009506225586
181,0.008660316467285156
182,0.008869171142578125
183,0.008662700653076172
184,0.008861780166625977
185,0.008870363235473633
186,0.009102344512939453
187,0.00878143310546875
188,0.009092092514038086
189,0.010121345520019531
190,0.011605501174926758
191,0.009447336196899414
192,0.009476423263549805
193,0.009335041046142578
194,0.009071111679077148
195,0.010127782821655273
196,0.008904218673706055
197,0.010230779647827148
198,0.008973360061645508
199,0.009291887283325195
200,0.009399890899658203
201,0.008934259414672852
202,0.008966922760009766
203,0.010100603103637695
204,0.009891033172607422
205,0.009185791015625
206,0.009451627731323242
207,0.010845661163330078
208,0.00976872444152832
209,0.00970602035522461
210,0.01080465316772461
211,0.010372638702392578
212,0.009768486022949219
213,0.009381771087646484
214,0.009914636611938477
215,0.010396480560302734
216,0.010097742080688477
217,0.009669303894042969
218,0.010217428207397461
219,0.010029077529907227
220,0.009783744812011719
221,0.011497735977172852
222,0.010029077529907227
223,0.010307073593139648
224,0.011998414993286133
225,0.01048421859741211
226,0.011846303939819336
227,0.010053157806396484
228,0.010016202926635742
229,0.01199030876159668
230,0.010333061218261719
231,0.010049581527709961
232,0.012132406234741211
233,0.01060795783996582
234,0.010347843170166016
235,0.010309934616088867
236,0.010628700256347656
237,0.011030435562133789
238,0.010935783386230469
239,0.010713815689086914
240,0.012593746185302734
241,0.011197566986083984
242,0.012063026428222656
243,0.0111083984375
244,0.010673046112060547
245,0.011381149291992188
246,0.012230634689331055
247,0.011486053466796875
248,0.01196432113647461
249,0.011905193328857422
250,0.012462615966796875
251,0.012021780014038086
252,0.012457847595214844
253,0.012011528015136719
254,0.01124715805053711
255,0.011788129806518555
256,0.0128173828125
257,0.012073993682861328
258,0.012785911560058594
259,0.012182950973510742
