,sorting_time,clearing_time
0,0.0008397102355957031,4.76837158203125e-06
1,0.0007569789886474609,4.5299530029296875e-06
2,0.0003972053527832031,6.198883056640625e-06
3,0.0005676746368408203,8.821487426757812e-06
4,0.0007865428924560547,8.58306884765625e-06
5,0.0005521774291992188,1.6689300537109375e-05
6,0.0006914138793945312,1.7642974853515625e-05
7,0.0005807876586914062,2.1457672119140625e-05
8,0.0005352497100830078,1.4781951904296875e-05
9,0.0005736351013183594,1.7642974853515625e-05
10,0.0006172657012939453,1.7642974853515625e-05
11,0.0006730556488037109,1.7642974853515625e-05
12,0.0006837844848632812,1.9788742065429688e-05
13,0.0007355213165283203,1.9550323486328125e-05
14,0.0007774829864501953,2.193450927734375e-05
15,0.0008137226104736328,2.4080276489257812e-05
16,0.0008449554443359375,2.6941299438476562e-05
17,0.0008878707885742188,2.6464462280273438e-05
18,0.0009291172027587891,2.6464462280273438e-05
19,0.0009806156158447266,2.6226043701171875e-05
20,0.0010390281677246094,2.956390380859375e-05
21,0.0012004375457763672,3.0517578125e-05
22,0.0017085075378417969,3.314018249511719e-05
23,0.0011456012725830078,3.361701965332031e-05
24,0.001184701919555664,3.552436828613281e-05
25,0.001224517822265625,3.62396240234375e-05
26,0.0012555122375488281,3.5762786865234375e-05
27,0.0013685226440429688,4.029273986816406e-05
28,0.0021834373474121094,4.601478576660156e-05
29,0.0014274120330810547,3.910064697265625e-05
30,0.0014615058898925781,3.838539123535156e-05
31,0.0014538764953613281,3.933906555175781e-05
32,0.0015826225280761719,3.8623809814453125e-05
33,0.0016808509826660156,3.9577484130859375e-05
34,0.001752614974975586,4.00543212890625e-05
35,0.0018916130065917969,4.2438507080078125e-05
36,0.0017118453979492188,4.076957702636719e-05
37,0.0016889572143554688,4.220008850097656e-05
38,0.003126382827758789,5.841255187988281e-05
39,0.0018384456634521484,4.5299530029296875e-05
40,0.001817941665649414,4.792213439941406e-05
41,0.0018546581268310547,4.935264587402344e-05
42,0.0020399093627929688,5.054473876953125e-05
43,0.0019519329071044922,0.00010085105895996094
44,0.0023064613342285156,6.413459777832031e-05
