clock,deviation
1602258752,-8.999676
1602258753,-8.999693
1602258754,-8.999677
1602258755,-8.999649
1602258756,-8.999631
1602258757,-8.999687
1602258758,-8.999671
1602258759,-8.999637
1602258760,-8.99967
1602258761,-8.99966
1602258762,-8.999673
1602258763,-8.999677
1602258764,-9.020835
1602258765,-9.999863
1602258766,-9.999831
1602258767,-9.999694
1602258768,-9.99982
1602258769,-9.999816
1602258770,-9.999832
1602258771,-9.999728
1602258772,-9.99981
1602258773,-9.999657
1602258774,-9.999798
1602258775,-9.99983
1602258776,-9.999812
1602258777,-9.999829
1602258778,-9.999741
1602258779,-9.999741
1602258780,-9.999746
1602258781,-9.99982
1602258782,-9.999821
1602258783,-9.999747
1602258784,-9.999834
1602258785,-9.999704
1602258786,-9.999837
1602258787,-9.999721
1602258788,-9.999817
1602258789,-9.999829
1602258790,-9.99974
1602258791,-9.999836
1602258792,-9.999734
1602258793,-9.999814
1602258794,-9.999653
1602258795,-10.012223
1602258796,-10.99968
1602258797,-10.999525
1602258798,-10.999637
1602258799,-10.999631
1602258800,-10.99967
1602258801,-10.999607
1602258802,-10.999607
1602258803,-10.99963
1602258804,-10.999617
1602258805,-10.999617
1602258806,-10.999651
1602258807,-10.999622
1602258808,-10.999633
1602258809,-10.999531
1602258810,-10.999581
1602258811,-10.999628
1602258812,-10.999657
1602258813,-10.99959
1602258814,-10.999498
1602258815,-10.999621
1602258816,-10.999614
1602258817,-10.999502
1602258818,-10.99961
1602258819,-10.999592
1602258820,-10.999578
1602258821,-10.999505
1602258822,-10.999568
1602258823,-10.999592
1602258824,-10.99961
1602258825,-10.999594
1602258826,-11.01702
1602258827,-11.999517
1602258828,-11.999862
1602258829,-11.999493
1602258830,-11.99954
1602258831,-11.99953
1602258832,-11.99952
1602258833,-11.999523
1602258834,-11.999485
1602258835,-11.999521
1602258836,-11.999529
1602258837,-11.999545
1602258838,-11.999467
1602258839,-11.999509
1602258840,-11.999468
1602258841,-11.999525
1602258842,-11.999519
1602258843,-11.999542
1602258844,-11.999813
1602258845,-11.999682
1602258846,-11.999514
1602258847,-11.999387
1602258848,-11.999503
1602258849,-11.999368
1602258850,-11.999898
1602258851,-11.999549
1602258852,-11.999554
