# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 02:27:00 CDT,+423429
2016-07-01 02:28:00 CDT,+430113
2016-07-01 02:29:00 CDT,+436159
2016-07-01 02:30:00 CDT,+485654
2016-07-01 02:31:00 CDT,+449759
2016-07-01 02:32:00 CDT,+446603
2016-07-01 02:33:00 CDT,+455338
2016-07-01 02:34:00 CDT,+466217
2016-07-01 02:35:00 CDT,+437138
2016-07-01 02:36:00 CDT,+442860
2016-07-01 02:37:00 CDT,+454865
2016-07-01 02:38:00 CDT,+481699
2016-07-01 02:39:00 CDT,+465940
2016-07-01 02:40:00 CDT,+455829
2016-07-01 02:41:00 CDT,+436767
2016-07-01 02:42:00 CDT,+444504
2016-07-01 02:43:00 CDT,+411954
2016-07-01 02:44:00 CDT,+398949
2016-07-01 02:45:00 CDT,+496363
2016-07-01 02:46:00 CDT,+498414
2016-07-01 02:47:00 CDT,+501411
2016-07-01 02:48:00 CDT,+492220
2016-07-01 02:49:00 CDT,+497686
2016-07-01 02:50:00 CDT,+431411
2016-07-01 02:51:00 CDT,+441072
2016-07-01 02:52:00 CDT,+439441
2016-07-01 02:53:00 CDT,+426385
2016-07-01 02:54:00 CDT,+428972
2016-07-01 02:55:00 CDT,+423329
2016-07-01 02:56:00 CDT,+423608
2016-07-01 02:57:00 CDT,+445858
2016-07-01 02:58:00 CDT,+461758
2016-07-01 02:59:00 CDT,+466801
2016-07-01 03:00:00 CDT,+520492
2016-07-01 03:01:00 CDT,+527587
2016-07-01 03:02:00 CDT,+531689
2016-07-01 03:03:00 CDT,+548412
2016-07-01 03:04:00 CDT,+511332
2016-07-01 03:05:00 CDT,+519658
2016-07-01 03:06:00 CDT,+510864
2016-07-01 03:07:00 CDT,+520313
2016-07-01 03:08:00 CDT,+516435
2016-07-01 03:09:00 CDT,+524251
2016-07-01 03:10:00 CDT,+505808
2016-07-01 03:11:00 CDT,+490089
2016-07-01 03:12:00 CDT,+495648
2016-07-01 03:13:00 CDT,+479323
2016-07-01 03:14:00 CDT,+482892
2016-07-01 03:15:00 CDT,+445047
2016-07-01 03:16:00 CDT,+415569
2016-07-01 03:17:00 CDT,+385089
2016-07-01 03:18:00 CDT,+375172
2016-07-01 03:19:00 CDT,+386004
2016-07-01 03:20:00 CDT,+418194
2016-07-01 03:21:00 CDT,+415276
2016-07-01 03:22:00 CDT,+423102
2016-07-01 03:23:00 CDT,+411616
2016-07-01 03:24:00 CDT,+399559
2016-07-01 03:25:00 CDT,+436246
2016-07-01 03:26:00 CDT,+426742
2016-07-01 03:27:00 CDT,+430798
2016-07-01 03:28:00 CDT,+421571
2016-07-01 03:29:00 CDT,+424397
2016-07-01 03:30:00 CDT,+406341
2016-07-01 03:31:00 CDT,+395979
2016-07-01 03:32:00 CDT,+380502
2016-07-01 03:33:00 CDT,+374348
2016-07-01 03:34:00 CDT,+347704
2016-07-01 03:35:00 CDT,+351001
2016-07-01 03:36:00 CDT,+371877
2016-07-01 03:37:00 CDT,+364946
2016-07-01 03:38:00 CDT,+394101
2016-07-01 03:39:00 CDT,+399438
2016-07-01 03:40:00 CDT,+413839
2016-07-01 03:41:00 CDT,+410959
2016-07-01 03:42:00 CDT,+413039
2016-07-01 03:43:00 CDT,+413058
2016-07-01 03:44:00 CDT,+427071
2016-07-01 03:45:00 CDT,+476060
2016-07-01 03:46:00 CDT,+453913
2016-07-01 03:47:00 CDT,+467704
2016-07-01 03:48:00 CDT,+458239
2016-07-01 03:49:00 CDT,+496225
2016-07-01 03:50:00 CDT,+482608
2016-07-01 03:51:00 CDT,+476901
2016-07-01 03:52:00 CDT,+462409
2016-07-01 03:53:00 CDT,+470106
