id,run,city,start_time,end_time,player_dir,tmy,month,slack_node,flexible_houses,PV_share,EV_share,Batt_share,line_capacity,market_data,p_max,unresp_factor,fixed_tariff,interval,allocation_rule,delta,price_intervals,which_price,include_SO,prec,M
0,Calibration_Austin,Austin,2016-07-01 00:00:00,2016-07-31 23:59:00,players_Austin,722540TYA.tmy3,july,node_149,300,0.0,0.0,0.0,1000,Ercot_HBSouth.csv,100,1.05,False,0,by_award,3,12,RT,False,4,10000
1,Calibration_Austin,Austin,2016-07-01 00:00:00,2016-07-31 23:59:00,players_Austin,722540TYA.tmy3,july,node_149,300,1.0,1.0,1.0,1000,Ercot_HBSouth.csv,100,1.05,False,0,by_award,3,12,RT,False,4,10000
